Rango,ASN,Organización,Descripción,País,Rango padre
61.249.156.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.157.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.158.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.159.0/24,4670,HYUNDAI-KR,Shinbiro,KR,61.249.128.0/19
61.249.224.0/19,4670,HYUNDAI-KR,Shinbiro,KR,61.249.224.0/19
61.249.242.0/23,4670,HYUNDAI-KR,Shinbiro,KR,61.249.224.0/19
113.130.64.0/19,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.64.0/23,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.64.0/20,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.65.0/24,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.66.0/23,4670,HYUNDAI-KR,Shinbiro,KR,115.72.0.0/13
113.130.68.0/23,4670,HYUNDAI-KR,Shinbiro,KR,111.91.236.0/22
113.130.70.0/24,4670,HYUNDAI-KR,Shinbiro,KR,
113.130.70.0/23,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.71.0/24,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.72.0/23,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.72.0/24,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.74.0/23,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.76.0/23,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.76.0/24,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.78.0/23,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.80.0/23,4670,HYUNDAI-KR,Shinbiro,KR,115.186.0.0/17
113.130.80.0/20,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.82.0/23,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.84.0/23,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.85.0/24,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.86.0/23,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.88.0/23,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.90.0/23,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.92.0/23,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
113.130.94.0/23,4670,HYUNDAI-KR,Shinbiro,KR,113.130.64.0/19
202.30.128.0/17,4670,HYUNDAI-KR,Shinbiro,KR,202.30.128.0/17
202.30.128.0/18,4670,HYUNDAI-KR,Shinbiro,KR,202.30.128.0/17
202.30.130.0/24,4670,HYUNDAI-KR,Shinbiro,KR,202.30.128.0/17
202.30.131.0/24,4670,HYUNDAI-KR,Shinbiro,KR,202.30.128.0/17
202.30.164.0/24,4670,HYUNDAI-KR,Shinbiro,KR,202.83.124.0/22
202.30.192.0/18,4670,HYUNDAI-KR,Shinbiro,KR,202.43.160.0/20
202.30.192.0/19,4670,HYUNDAI-KR,Shinbiro,KR,202.40.224.0/19
202.30.198.0/24,4670,HYUNDAI-KR,Shinbiro,KR,202.30.128.0/17
202.30.224.0/19,4670,HYUNDAI-KR,Shinbiro,KR,202.30.128.0/17
202.30.225.0/24,4670,HYUNDAI-KR,Shinbiro,KR,202.30.128.0/17
202.30.226.0/24,4670,HYUNDAI-KR,Shinbiro,KR,202.30.128.0/17
203.228.128.0/18,4670,HYUNDAI-KR,Shinbiro,KR,203.228.128.0/17
203.228.128.0/17,4670,HYUNDAI-KR,Shinbiro,KR,203.228.128.0/17
203.228.132.0/24,4670,HYUNDAI-KR,Shinbiro,KR,203.228.128.0/17
203.228.143.0/24,4670,HYUNDAI-KR,Shinbiro,KR,203.228.128.0/17
203.228.147.0/24,4670,HYUNDAI-KR,Shinbiro,KR,203.228.128.0/17
203.228.162.0/23,4670,HYUNDAI-KR,Shinbiro,KR,203.228.128.0/17
203.228.181.0/24,4670,HYUNDAI-KR,Shinbiro,KR,203.228.128.0/17
203.228.185.0/24,4670,HYUNDAI-KR,Shinbiro,KR,203.228.128.0/17
203.228.192.0/18,4670,HYUNDAI-KR,Shinbiro,KR,203.228.128.0/17
203.228.196.0/24,4670,HYUNDAI-KR,Shinbiro,KR,203.228.128.0/17
203.228.205.0/24,4670,HYUNDAI-KR,Shinbiro,KR,203.228.128.0/17
203.228.210.0/23,4670,HYUNDAI-KR,Shinbiro,KR,203.228.128.0/17
203.240.128.0/19,4670,HYUNDAI-KR,Shinbiro,KR,203.240.128.0/19
203.240.192.0/18,4670,HYUNDAI-KR,Shinbiro,KR,203.240.192.0/18
203.240.192.0/19,4670,HYUNDAI-KR,Shinbiro,KR,206.123.32.0/20
203.240.208.0/24,4670,HYUNDAI-KR,Shinbiro,KR,203.240.192.0/18
203.240.209.0/24,4670,HYUNDAI-KR,Shinbiro,KR,203.240.192.0/18
